symbol,signal_id,buy_surge_ratio,signal_time,signal_date,earliest_entry_time,signal_price,target_drop_pct,target_price,wait_deadline_utc,status,entry_time,entry_price,note
TURTLEUSDT,TURTLEUSDT_202604021300,32.08262094443901,2026-04-02 13:00:00,2026-04-02 13:00,2026-04-02 14:00:00,0.04702,0.0,0.04702,2026-04-07 14:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
SAFEUSDT,SAFEUSDT_202604021400,48.904878065249015,2026-04-02 14:00:00,2026-04-02 14:00,2026-04-02 15:00:00,0.1098,0.0,0.1098,2026-04-07 15:00:00,entered,2026-04-02 15:05:00,0.110800,触发目标价并建仓（理论0.109800，实际0.110800）
NMRUSDT,NMRUSDT_202604021700,96.29902052938922,2026-04-02 17:00:00,2026-04-02 17:00,2026-04-02 18:00:00,8.21,0.0,8.21,2026-04-07 18:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
PROMPTUSDT,PROMPTUSDT_202604021900,66.30130782948878,2026-04-02 19:00:00,2026-04-02 19:00,2026-04-02 20:00:00,0.03226,0.0,0.03226,2026-04-07 20:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
STBLUSDT,STBLUSDT_202604021900,33.746967353726696,2026-04-02 19:00:00,2026-04-02 19:00,2026-04-02 20:00:00,0.03305,0.0,0.03305,2026-04-07 20:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
XPLUSDT,XPLUSDT_202604022000,56.9416016553054,2026-04-02 20:00:00,2026-04-02 20:00,2026-04-02 21:00:00,0.1531,0.0,0.1531,2026-04-07 21:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
SYNUSDT,SYNUSDT_202604022000,30.019418500745818,2026-04-02 20:00:00,2026-04-02 20:00,2026-04-02 21:00:00,0.05677,0.0,0.05677,2026-04-07 21:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
CHRUSDT,CHRUSDT_202604030200,30.440508893052392,2026-04-03 02:00:00,2026-04-03 02:00,2026-04-03 03:00:00,0.0199,0.0,0.0199,2026-04-08 03:00:00,entered,2026-04-03 03:05:00,0.020200,触发目标价并建仓（理论0.019900，实际0.020200）
ONGUSDT,ONGUSDT_202604030600,34.481538070901784,2026-04-03 06:00:00,2026-04-03 06:00,2026-04-03 07:00:00,0.08991,0.0,0.08991,2026-04-08 07:00:00,entered,2026-04-03 07:05:00,0.088150,触发目标价并建仓（理论0.089910，实际0.088150）
1000000BOBUSDT,1000000BOBUSDT_202604030700,57.65103958952531,2026-04-03 07:00:00,2026-04-03 07:00,2026-04-03 08:00:00,0.01202,0.0,0.01202,2026-04-08 08:00:00,entered,2026-04-03 08:05:00,0.011860,触发目标价并建仓（理论0.012020，实际0.011860）
YBUSDT,YBUSDT_202604030700,30.21233611021015,2026-04-03 07:00:00,2026-04-03 07:00,2026-04-03 08:00:00,0.1473,0.0,0.1473,2026-04-08 08:00:00,wait_window_expired,,,等待窗口已届满（earliest_entry+120h 截止）：窗口内仍未触发建仓。常见原因：反弹目标价未触及、资金或日内/小时额度不足、候选按倍数排序较后等。
MAGICUSDT,MAGICUSDT_202604031000,76.0188529223745,2026-04-03 10:00:00,2026-04-03 10:00,2026-04-03 11:00:00,0.06718,0.0,0.06718,2026-04-08 11:00:00,entered,2026-04-03 11:05:00,0.066070,触发目标价并建仓（理论0.067180，实际0.066070）
POLYXUSDT,POLYXUSDT_202604040000,88.5893791382351,2026-04-04 00:00:00,2026-04-04 00:00,2026-04-04 01:00:00,0.05212,0.0,0.05212,2026-04-09 01:00:00,entered,2026-04-04 01:05:00,0.051570,触发目标价并建仓（理论0.052120，实际0.051570）
TUSDT,TUSDT_202604050000,85.25032508499929,2026-04-05 00:00:00,2026-04-05 00:00,2026-04-05 01:00:00,0.006459,0.0,0.006459,2026-04-10 01:00:00,entered,2026-04-05 01:05:00,0.006393,触发目标价并建仓（理论0.006459，实际0.006393）
1INCHUSDT,1INCHUSDT_202604050000,50.134595717180844,2026-04-05 00:00:00,2026-04-05 00:00,2026-04-05 01:00:00,0.0888,0.0,0.0888,2026-04-10 01:00:00,superseded_stronger_hour,,,被更强卖量信号覆盖(旧50.13x → 新64.63x，新信号UTC 2026-04-10 00:00)
CARVUSDT,CARVUSDT_202604050000,35.596482722776386,2026-04-05 00:00:00,2026-04-05 00:00,2026-04-05 01:00:00,0.05878,0.0,0.05878,2026-04-10 01:00:00,superseded_stronger_hour,,,被更强卖量信号覆盖(旧35.60x → 新51.14x，新信号UTC 2026-04-10 00:00)
SAFEUSDT,SAFEUSDT_202604050600,35.207790386731396,2026-04-05 06:00:00,2026-04-05 06:00,2026-04-05 07:00:00,0.1255,0.0,0.1255,2026-04-10 07:00:00,entered,2026-04-05 07:05:00,0.125800,触发目标价并建仓（理论0.125500，实际0.125800）
