# moonshot:max_positions=5
序号,交易对,卖量暴涨倍数,当日买量倍数,当日卖量倍数,买卖量比值,信号时未平仓量,建仓时未平仓量,未平仓量比率,买量加速度,信号时间,信号价,建仓日期,建仓具体时间,建仓5分钟时刻,建仓时多空比,建仓价,建仓涨幅%,平仓日期,平仓具体时间,平仓价,持仓小时数,盈亏百分比,建仓手续费,补仓手续费,平仓手续费,交易手续费合计,盈亏金额,扣交易费后,最终净盈亏,真实盈亏金额,余额,连续爆,2小时判断,12小时判断,平仓原因,基差%,杠杆倍数,仓位金额,是否有补仓,补仓价格,补仓后平均价,2h收盘价,2h涨幅%,2h最大跌幅%,12h收盘价,12h涨幅%,12h最大跌幅%,24h收盘价,24小时涨幅%,24h最大跌幅%,72h最大跌幅%,最大跌幅%,2小时最大涨幅%,24小时最大涨幅%,止盈阈值%,建仓时账户多空比,信号时账户多空比,多空比变化率,当前5m时间,当前5m收盘价,当前浮盈金额,当前浮盈百分比
31,PLAYUSDT,48.9,20.6,11.8,1.739,,,,-0.0589,2026-03-28 21:00,0.052010,2026-03-28,2026-03-28 22:00:00,2026-03-28 22:00:00,,0.051420,-1.13%,2026-03-29,2026-03-29 01:00:00,0.059647,3.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,11310.10,否,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.053060,3.19%,5.46%,0.060440,17.54%,5.46%,0.061910,,5.46%,5.46%,5.46%,5.78%,,,,,,,,,
32,CKBUSDT,85.8,71.4,57.6,1.240,,,,-0.3442,2026-03-29 00:00,0.001388000000,2026-03-29,2026-03-29 01:00:00,2026-03-29 01:00:00,,0.001377000000,-0.79%,2026-04-01,2026-04-01 01:00:00,0.001385000000,72.0,-0.58%,0.6000,,0.6035,1.2035,-17.43,-18.63,-18.63,-18.63,11291.47,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.001363,-1.02%,1.23%,0.001346,-2.25%,2.61%,0.001342,-2.54%,5.37%,5.37%,5.37%,1.09%,,,,,,,,,
33,SENTUSDT,37.9,11.1,17.8,0.625,,,,-0.2744,2026-03-29 10:00,0.018140,2026-03-29,2026-03-29 11:00:00,2026-03-29 11:00:00,,0.018130,-0.06%,2026-04-01,2026-04-01 11:00:00,0.017170,72.0,5.30%,0.6000,,0.5682,1.1682,158.85,157.68,157.68,157.68,11449.15,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.017920,-1.16%,2.92%,0.018490,1.99%,2.92%,0.019040,5.02%,2.92%,6.45%,6.45%,2.04%,,,,,,,,,
34,CTKUSDT,36.6,14.2,24.0,0.589,,,,0.2000,2026-03-29 12:00,0.160800,2026-03-29,2026-03-29 13:00:00,2026-03-29 13:00:00,,0.160100,-0.44%,2026-04-01,2026-04-01 13:00:00,0.161700,72.0,-1.00%,0.6000,,0.6060,1.2060,-29.98,-31.19,-31.19,-31.19,11417.97,否,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.161300,0.75%,1.12%,0.165500,3.37%,1.12%,0.163300,2.00%,1.12%,1.12%,1.12%,0.94%,,,,,,,,,
35,DUSDT,138.0,94.0,83.8,1.122,,,,-0.3069,2026-03-29 13:00,0.005457000000,2026-03-29,2026-03-29 14:05:00,2026-03-29 14:05:00,,0.005371000000,-1.58%,2026-03-30,2026-03-30 02:00:00,0.005585000000,11.92,-3.98%,0.6000,,0.6239,1.2239,-119.53,-120.75,-120.75,-120.75,11297.21,否,中（改成20%）,中（保持20%）,early_stop_loss_12h,数据缺失,3.0,1000.00,否,,,0.005345,-0.48%,1.66%,0.005582,3.93%,7.48%,0.007550,,7.48%,7.48%,7.48%,0.82%,,,,,,,,,
36,FORMUSDT,47.5,10.8,28.8,0.374,,,,-0.1714,2026-03-30 02:00,0.235300,2026-03-30,2026-03-30 03:00:00,2026-03-30 03:00:00,,0.236100,0.34%,2026-04-02,2026-04-02 01:00:00,0.212490,70.0,10.00%,0.6000,,0.5400,1.1400,300.00,298.86,298.86,298.86,11596.07,否,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,0.241100,2.12%,1.27%,0.235700,-0.17%,1.52%,0.233800,-0.97%,3.39%,11.61%,11.61%,2.58%,,10.0%,,,,,,,
37,MOVRUSDT,31.8,4.4,3.8,1.152,,,,-0.1263,2026-03-31 18:00,1.326000,2026-03-31,2026-03-31 19:00:00,2026-03-31 19:00:00,,1.309000,-1.28%,2026-04-02,2026-04-02 21:00:00,1.178100,50.0,10.00%,0.6000,,0.5400,1.1400,300.00,298.86,298.86,298.86,11894.93,否,中（改成20%）,弱（12%）,take_profit,数据缺失,3.0,1000.00,否,,,1.294000,-1.15%,3.28%,1.305000,-0.31%,4.74%,1.329000,1.53%,4.74%,11.31%,11.08%,1.91%,,10.0%,,,,,,,
38,MINAUSDT,40.9,50.6,105.4,0.480,,,,0.1777,2026-04-01 00:00,0.056140,2026-04-01,2026-04-01 01:00:00,2026-04-01 01:00:00,,0.058210,3.69%,2026-04-04,2026-04-04 01:00:00,0.056070,72.0,3.68%,0.6000,,0.5779,1.1779,110.29,109.11,109.11,109.11,12004.04,是,中（改成20%）,弱（12%）,max_hold_time,数据缺失,3.0,1000.00,否,,,0.058690,0.82%,4.29%,0.058550,0.58%,4.29%,0.058660,0.77%,4.29%,6.03%,6.03%,1.92%,,,,,,,,,
39,CLOUSDT,38.7,3.4,4.6,0.743,,,,-0.2244,2026-04-01 12:00,0.075560,2026-04-01,2026-04-01 13:00:00,2026-04-01 13:00:00,,0.076710,1.52%,2026-04-01,2026-04-01 17:00:00,0.088984,4.0,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,11522.75,否,中（改成20%）,中（保持20%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.076540,-0.22%,2.84%,0.083390,8.71%,4.48%,0.088930,,4.48%,4.59%,2.84%,2.78%,,,,,,,,,
40,DODOXUSDT,120.9,41.0,38.7,1.058,,,,-0.1865,2026-04-01 13:00,0.018129,2026-04-01,2026-04-01 14:00:00,2026-04-01 14:00:00,,0.019257,6.22%,2026-04-01,2026-04-01 14:30:00,0.016946,0.5,12.00%,0.6000,,0.5280,1.1280,360.00,358.87,358.87,358.87,11881.62,是,强（2h内默认）,强（保持30%）,take_profit,数据缺失,3.0,1000.00,否,,,0.015173,-21.21%,22.09%,0.015215,-20.99%,24.69%,0.014933,,24.69%,24.69%,20.62%,0.39%,,,,,,,,,
41,JCTUSDT,43.7,14.5,9.2,1.577,,,,-0.0357,2026-04-01 14:00,0.002186000000,2026-04-01,2026-04-01 15:00:00,2026-04-01 15:00:00,,0.002240000000,2.47%,2026-04-01,2026-04-01 15:20:00,0.002598400000,0.33,-16.00%,0.6000,,0.6960,1.2960,-480.00,-481.30,-481.30,-481.30,11400.32,是,强（2h内默认）,强（保持30%）,stop_loss,数据缺失,3.0,1000.00,否,,,0.002292,2.32%,5.54%,0.002304,2.86%,5.54%,0.002392,,5.54%,5.54%,5.54%,24.38%,,,,,,,,,
